Time	Open	High	Low	Close	Volume
2024.10.11 21:00	1.09424	1.09451	1.09412	1.09428	628
2024.10.11 21:30	1.09428	1.09429	1.09379	1.09381	439
2024.10.11 22:00	1.09382	1.09385	1.09362	1.09365	451
2024.10.11 22:30	1.09366	1.09368	1.09321	1.09323	587
2024.10.11 23:00	1.09323	1.09364	1.09314	1.0936	566
2024.10.11 23:30	1.0936	1.09374	1.09329	1.09344	409
2024.10.14 00:00	1.09305	1.09306	1.09299	1.09306	32
2024.10.14 00:30	1.09301	1.09313	1.09301	1.09307	167
2024.10.14 01:00	1.09316	1.09326	1.09272	1.09296	477
2024.10.14 01:30	1.09296	1.0930900000000001	1.0926	1.09261	246
2024.10.14 02:00	1.09264	1.09274	1.0923	1.09249	323
2024.10.14 02:30	1.09249	1.0925	1.09212	1.0922	426
2024.10.14 03:00	1.09222	1.09234	1.09143	1.09213	984
2024.10.14 03:30	1.09214	1.09227	1.09179	1.09205	726
2024.10.14 04:00	1.09205	1.09225	1.09169	1.09213	1093
2024.10.14 04:30	1.09212	1.09245	1.09183	1.09222	1386
2024.10.14 05:00	1.09221	1.09239	1.09174	1.09234	1153
2024.10.14 05:30	1.09232	1.09259	1.0923	1.09236	829
2024.10.14 06:00	1.09238	1.09282	1.09225	1.09281	592
2024.10.14 06:30	1.09281	1.09282	1.09244	1.09245	453
2024.10.14 07:00	1.09246	1.09249	1.09223	1.0923	264
2024.10.14 07:30	1.0923	1.09237	1.09225	1.09228	212
2024.10.14 08:00	1.09227	1.09247	1.09214	1.09236	468
2024.10.14 08:30	1.09235	1.09254	1.09225	1.09251	681
2024.10.14 09:00	1.09252	1.09294	1.09252	1.09278	904
2024.10.14 09:30	1.09279	1.09291	1.09239	1.09241	746
2024.10.14 10:00	1.0924	1.09294	1.09228	1.09252	1322
2024.10.14 10:30	1.09253	1.09301	1.0924	1.09274	1177
2024.10.14 11:00	1.09272	1.09306	1.09261	1.09261	1098
2024.10.14 11:30	1.09262	1.09302	1.09227	1.09259	1496
2024.10.14 12:00	1.0926	1.09356	1.0925799999999999	1.09338	915
2024.10.14 12:30	1.09337	1.09337	1.09265	1.0928	931
2024.10.14 13:00	1.0928	1.09291	1.09244	1.09264	783
2024.10.14 13:30	1.09263	1.09268	1.09211	1.09218	1012
2024.10.14 14:00	1.09218	1.09236	1.09138	1.09145	1163
2024.10.14 14:30	1.09145	1.09159	1.09083	1.09118	1171
2024.10.14 15:00	1.09116	1.09158	1.09103	1.0914	1189
2024.10.14 15:30	1.0914	1.09151	1.09064	1.09089	1765
2024.10.14 16:00	1.09085	1.09129	1.09037	1.09096	1505
2024.10.14 16:30	1.09095	1.09263	1.09076	1.09181	2726
2024.10.14 17:00	1.09181	1.09182	1.0907	1.09098	2007
2024.10.14 17:30	1.09099	1.09141	1.09041	1.09139	2061
2024.10.14 18:00	1.09138	1.09154	1.09094	1.09113	1351
2024.10.14 18:30	1.09112	1.0915300000000001	1.09038	1.09059	934
2024.10.14 19:00	1.0906	1.09076	1.08998	1.09007	759
2024.10.14 19:30	1.09007	1.09026	1.08999	1.09005	496
2024.10.14 20:00	1.09005	1.0901399999999999	1.08964	1.0898	488
2024.10.14 20:30	1.0898	1.09032	1.08979	1.0903	542
2024.10.14 21:00	1.0903	1.0904	1.09016	1.09016	463
2024.10.14 21:30	1.0901399999999999	1.09017	1.0894	1.08962	651
2024.10.14 22:00	1.08962	1.09049	1.08872	1.09025	1690
2024.10.14 22:30	1.09024	1.09047	1.09011	1.09028	744
2024.10.14 23:00	1.09029	1.09076	1.09018	1.09061	297
2024.10.14 23:30	1.09062	1.09086	1.09052	1.09082	443
2024.10.15 00:00	1.09053	1.09056	1.09042	1.09055	51
2024.10.15 00:30	1.09054	1.09069	1.09052	1.09064	84
2024.10.15 01:00	1.09063	1.09065	1.09038	1.09054	246
2024.10.15 01:30	1.09055	1.09086	1.09047	1.0907499999999999	249
2024.10.15 02:00	1.09076	1.09095	1.09056	1.09088	322
2024.10.15 02:30	1.09089	1.0909200000000001	1.09061	1.09079	386
2024.10.15 03:00	1.09079	1.09088	1.09034	1.09051	783
2024.10.15 03:30	1.0905	1.09067	1.0903	1.09063	632
2024.10.15 04:00	1.09063	1.09073	1.09038	1.09069	419
2024.10.15 04:30	1.09068	1.09076	1.09042	1.09062	608
2024.10.15 05:00	1.09062	1.09078	1.09034	1.09035	649
2024.10.15 05:30	1.09034	1.0904	1.08995	1.09011	489
2024.10.15 06:00	1.0901	1.0902	1.08972	1.09008	537
2024.10.15 06:30	1.09007	1.0901	1.08947	1.08955	549
2024.10.15 07:00	1.08954	1.08954	1.08908	1.08913	480
2024.10.15 07:30	1.08913	1.08932	1.08905	1.0892	425
